ids,smiles,C00073,C00078,C00079,C00082,C00235,C00341,C00353,C00448,C01789,C03506,C00047,C00108,C00187,C00148,C00041,C00129,C00062,C01852,C00049,C00135,C00223,C00509,C00540,C01477,C05903,C05904,C05905,C05908,C09762,inchikey,inchikey_wo_last
C09893,CC(C)=C1CC[C@@H](C)CC1=O,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NZGWDASTMWDZIW-MRVPVSSYSA-N,NZGWDASTMWDZIW-MRVPVSSYSA-
C11952,CC(C)[C@H]1CC[C@@H](C)CC1=O,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NFLGAXVYCFJBMK-RKDXNWHRSA-N,NFLGAXVYCFJBMK-RKDXNWHRSA-
C11393,CC1=CC[C@@H](C(C)(C)O)CC1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WUOACPNHFRMFPN-SECBINFHSA-N,WUOACPNHFRMFPN-SECBINFHSA-
C09844,CC12CCC(CC1)C(C)(C)O2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WEEGYLXZBRQIMU-UHFFFAOYSA-N,WEEGYLXZBRQIMU-UHFFFAOYSA-
C11389,C=C[C@@](C)(O)CCC=C(C)C,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CDOSHBSSFJOMGT-SNVBAGLBSA-N,CDOSHBSSFJOMGT-SNVBAGLBSA-
C11388,C=C[C@](C)(O)CCC=C(C)C,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CDOSHBSSFJOMGT-JTQLQIEISA-N,CDOSHBSSFJOMGT-JTQLQIEISA-
C01500,CC(C)=CCC/C(C)=C/CO,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GLZPCOQZEFWAFX-JXMROGBWSA-N,GLZPCOQZEFWAFX-JXMROGBWSA-
C17621,C/C(=C\CC/C(C)=C/CO)CO,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PREUOUJFXMCMSJ-TXFIJWAUSA-N,PREUOUJFXMCMSJ-TXFIJWAUSA-
C17622,C/C(C=O)=C\CC/C(C)=C/C=O,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRHWFPUCRVCMRY-TXFIJWAUSA-N,GRHWFPUCRVCMRY-TXFIJWAUSA-
C09782,C=C[C@@H]1C2=CCOC(=O)C2=CO[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUAGQYUORDTXOR-GPQRQXLASA-N,DUAGQYUORDTXOR-GPQRQXLASA-
C18025,Cc1coc2c1CC[C@@H](C)C2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YGWKXXYGDYYFJU-SSDOTTSWSA-N,YGWKXXYGDYYFJU-SSDOTTSWSA-
C18027,CC(C)[C@@H]1CC[C@@H](C)CC(=O)O1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GGAXPLCKKANQED-BDAKNGLRSA-N,GGAXPLCKKANQED-BDAKNGLRSA-
C04433,C=CC(C)(O)CC/C=C(\C)CO,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSMIMJYEKVSYMT-RMKNXTFCSA-N,NSMIMJYEKVSYMT-RMKNXTFCSA-
C20221,C=CC(C)(O)CC/C=C(\C)C=O,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HRVZNWRZLYDLBU-RMKNXTFCSA-N,HRVZNWRZLYDLBU-RMKNXTFCSA-
C11382,CC1=CC[C@@H]2[C@H](C1)C2(C)C,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BQOFWKZOCNGFEC-BDAKNGLRSA-N,BQOFWKZOCNGFEC-BDAKNGLRSA-
C06304,C=C1[C@H]2CC[C@H](C2)C1(C)C,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CRPUJAZIXJMDBK-DTWKUNHWSA-N,CRPUJAZIXJMDBK-DTWKUNHWSA-
C06305,C=C1[C@@H]2CC[C@@H](C2)C1(C)C,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CRPUJAZIXJMDBK-BDAKNGLRSA-N,CRPUJAZIXJMDBK-BDAKNGLRSA-
C20789,C[C@H]1CC[C@@H]2C(C(=O)O)=CO[C@@H](O)[C@@H]21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DKGYTSKPMLWLEI-FIZOKRMRSA-N,DKGYTSKPMLWLEI-FIZOKRMRSA-
C20943,C=CC(=C)C[C@@H](O)C=C(C)C,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NHMKYUHMPXBMFI-JTQLQIEISA-N,NHMKYUHMPXBMFI-JTQLQIEISA-
C20944,C=CC(=C)CC(=O)C=C(C)C,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPDIIOSMVGHNKJ-UHFFFAOYSA-N,RPDIIOSMVGHNKJ-UHFFFAOYSA-
C21203,CC(C)=CCC/C(C)=C/COP(=O)(O)O,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FFOWJDCTFSWUMJ-JXMROGBWSA-N,FFOWJDCTFSWUMJ-JXMROGBWSA-
C09804,CC1=COC(O)[C@H]2[C@@H]1CC[C@@H]2C,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OJGPEAXUHQRLNC-CEPLBNANSA-N,OJGPEAXUHQRLNC-CEPLBNANSA-
C22014,C[C@H]1CC[C@@H]2C(CO)=CO[C@@H](O)[C@@H]21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HNINLNSOSQUTPL-JZKKDOLYSA-N,HNINLNSOSQUTPL-JZKKDOLYSA-
C22225,C/C(C=O)=C\CC[C@H](C)/C=C/O,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUVKIWGKVWHEEO-BVRNBXKUSA-N,CUVKIWGKVWHEEO-BVRNBXKUSA-
C03428,CC(C)=CCC/C(C)=C/CC/C(C)=C/[C@@H]1[C@@H](COP(=O)(O)OP(=O)(O)O)[C@]1(C)CC/C=C(\C)CCC=C(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATZKAUGGNMSCCY-VVFNRDJMSA-N,ATZKAUGGNMSCCY-VVFNRDJMSA-
C01841,CC1=C[C@@H]2CC(C)(C)CC23[C@H](C)CC[C@@H]13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YGIVIHRLDOVJLL-DPORPMIOSA-N,YGIVIHRLDOVJLL-DPORPMIOSA-
C01860,C=C1CCC[C@]1(C)[C@]1(C)CC=C(C)CC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YFLSTROSSKYYNK-CABCVRRESA-N,YFLSTROSSKYYNK-CABCVRRESA-
C02004,C=C(C)[C@H]1CC=C2CCC[C@H](C)[C@@]2(C)C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YONHOSLUBQJXPR-KCQAQPDRSA-N,YONHOSLUBQJXPR-KCQAQPDRSA-
