compound_id,smiles
Glycosphingolipids,C(O[R3])[C@H](NC(=O)[R2])[C@H](O)[R1]
VIM-2,C[C@@H]6(O[C@@H](O[C@@H]5([C@@H](NC(C)=O)[C@@H](O[C@H](CO)[C@@H](O[C@H]4([C@H](O)[C@@H](O[C@@H]3(O[C@H](CO)[C@@H](O[C@@H]2(O[C@H](CO)[C@H](O)[C@H](O[C@@]1(C(=O)[O-])(C[C@H](O)[C@@H](NC(C)=O)[C@@H](O1)[C@H](O)[C@H](O)CO))[C@@H](O)2))[C@H](O)[C@@H](NC(C)=O)3))[C@@H](O)[C@@H](CO)O4))5)O[R]))[C@H]([C@@H]([C@@H]6O)O)O)
Amino-Acids-20,[C@@H]([NH3+])([R])C([O-])=O
N-ACYL-D-AMINO-ACID,[C@H]([R2])(C([O-])=O)NC([R1])=O
tRNA-uridine34,C(OP(=O)([O-])O[a tRNA])[C@H]2(O[C@@H](N1(\C=C/C(=O)NC(=O)1))[C@H](O)[C@H](OP(=O)(O[a tRNA])[O-])2)
PINENE,CC1(\C2(C[C@@H](C\C=1)C(C)(C)2))
D-Gal-NAc--Glycoproteins,CC(=O)N[C@@H]1([C@@H](O)[C@@H](O)[C@@H](CO)O[C@@H]1OC([R])[C@@H](C(=O)[a protein])N[a protein])
Adenine-37-tRNA-Alas,C(OP(=O)([O-])O[a tRNA<SUP>Ala</SUP>])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](OP(=O)(O[a tRNA<SUP>Ala</SUP>])[O-])3)
Coniferyl-Esters,COC1(\C(\O)=C/C=C(/C=C/COC([R])=O)/C=1)
Reduced-Factor-F420,C[C@@H](C(=O)[R])OP([O-])(=O)OC[C@@H](O)[C@@H](O)[C@@H](O)CN1(C3(\NC(=O)NC(=O)C(\CC2(\C/1=C/C(/O)=C\C=2))=3))
Chondroitin-Sulfate-E,CC(=O)N[C@H]2([C@H](O[R1])O[C@H](COS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@H](O[C@@H]1(O[C@H](C(O)=O)[C@@H](O[R2])[C@H](O)[C@@H](O)1))2)
EPITHIONITRILES,C(#N)[R]C1(SC1)
